# source_url: https://query.wikidata.org/sparql
# license: CC0
# country_qid: Q916
# note: WDQS label corpus; given/family fields blank when property joins time out
qid,label,given_name,family_name,country,country_class
Q8068340,Zeca Amaral,,,ao,ao
Q1442237,Francisco Viti,,,ao,ao
Q1457599,Georges Chikoti,,,ao,ao
Q1479462,Lúcio Lara,,,ao,ao
Q1527454,José Maria Botelho de Vasconcelos,,,ao,ao
Q2407702,Leonel Paulo,,,ao,ao
Q2409548,Vladimir Geronimo,,,ao,ao
Q2410400,Francisco Zuela,,,ao,ao
Q2471918,Wilson Edgar Pereira Alegre,,,ao,ao
Q2493654,Ungudi Quiawacana,,,ao,ao
Q363927,José Eduardo Agualusa,,,ao,ao
Q369895,Isaías Samakuva,,,ao,ao
Q373591,Paulo Kassoma,,,ao,ao
Q7378735,Rui de Sá,,,ao,ao
Q7407990,Sam Pa,,,ao,ao
Q7412785,Samuel Tito Armando,,,ao,ao
Q7467525,Francisco Vicente Assis,,,ao,ao
Q7467571,Raul António dos Santos Barbosa,,,ao,ao
Q7478596,Carlos Pedro Pires de Melo,,,ao,ao
Q7478582,Juan Manuel Pascal Cachaizamba,,,ao,ao
Q7478611,Osvaldo Paulo João Diniz,,,ao,ao
Q2080240,Astrida Vicente,,,ao,ao
Q2167252,Antonio Correia,,,ao,ao
Q2202664,Christo Bilukidi,,,ao,ao
Q2210606,Rosa Saul,,,ao,ao
Q2266756,Giovanni Vemba-Duarte,,,ao,ao
Q351579,Gabriel Mbilingi,,,ao,ao
Q362312,Flávio Amado,,,ao,ao
Q310815,Nandó dos Santos,,,ao,ao
Q273051,Jonas Malheiro Savimbi,,,ao,ao
Q264090,França Van-Dúnem,,,ao,ao
Q6298463,João de Matos,,,ao,ao
Q6305249,Julião Mateus Paulo,,,ao,ao
Q6320095,Jérémie Bela,,,ao,ao
Q6320802,Matumona Lundala,,,ao,ao
Q6345518,Kadima Mungusso,,,ao,ao
Q6346289,Kafundanga Chingunji,,,ao,ao
Q10264455,David Zé,,,ao,ao
Q10269022,Dulce Braga,,,ao,ao
Q10273578,Eric Santos,,,ao,ao
Q10282276,Filipe Mukenga,,,ao,ao
Q10282288,Filipe Zau,,,ao,ao
Q10289036,Geraldo Bessa Victor,,,ao,ao
Q10297783,Hoji-ya-Henda,,,ao,ao
Q10299152,Hélder Graça Neto,,,ao,ao
Q3609204,Anselmo Ralph,,,ao,ao
Q533602,João Ricardo,,,ao,ao
Q535235,Alda Lara,,,ao,ao
Q523246,Evandro Brandão,,,ao,ao
Q523788,Luís Oliveira Gonçalves,,,ao,ao
Q112415,Alberto de Carvalho,,,ao,ao
Q133470,Marcelina Vahekeni,,,ao,ao
Q139186,Zacarias Kamwenho,,,ao,ao
Q58306,Assunção dos Anjos,,,ao,ao
Q2715932,Jonathan Buatu Mananga,,,ao,ao
Q2735060,Adérito Waldemar Alves Carvalho,,,ao,ao
Q2737513,António Jacinto,,,ao,ao
Q2757212,Catarina Camufal,,,ao,ao
Q3493825,Marcelina Kiala,,,ao,ao
Q3499453,Luisa Kiala,,,ao,ao
Q3500869,Nair Almeida,,,ao,ao
Q3544507,Lito Vidigal,,,ao,ao
Q3815152,Kikas,,,ao,ao
Q3811382,Jurema Ferraz,,,ao,ao
Q3867136,Ilídio Machado,,,ao,ao
Q3874513,Nelsa Alves,,,ao,ao
Q3898651,Pedro Francisco Miguel,,,ao,ao
Q3961341,Simão Kikamba,,,ao,ao
Q2063882,Paulino Fernandes Madeca,,,ao,ao
Q2066630,Pedro Marcos Ribeiro da Costa,,,ao,ao
Q2072276,Ricardo Job Estêvão,,,ao,ao
Q2079565,Fineza Eusébio,,,ao,ao
Q2080188,Ngiendula Filipe,,,ao,ao
Q5361841,Elisio,,,ao,ao
Q5290422,Domingos Culolo,,,ao,ao
Q5290428,Domingos Manuel Njinga,,,ao,ao
Q5292913,Don Kikas,,,ao,ao
Q5347539,Efigênia dos Santos Lima Clemente,,,ao,ao
Q5350621,Ekuikui IV,,,ao,ao
Q5360596,Elias Salupeto Pena,,,ao,ao
Q5368683,Elísio de Figueiredo,,,ao,ao
Q6709653,Bonga,,,ao,ao
Q6700828,Luis Matias,,,ao,ao
Q6710808,Lázaro Fonseca Costa Oliveira,,,ao,ao
Q6735546,Maieco Domingos Henrique António,,,ao,ao
Q6752377,Manuel Alexandre Jamuana,,,ao,ao
Q3375250,Isabel Fernandes,,,ao,ao
Q3374978,Cristina Branco,,,ao,ao
Q3374999,Natalia Bernardo,,,ao,ao
Q3375166,Joelma Viegas,,,ao,ao
Q3375313,Neyde Barbosa,,,ao,ao
Q10355561,Puto Português,,,ao,ao
Q10357750,Raúl Indipwo,,,ao,ao
Q10364110,Rogério de Carvalho,,,ao,ao
Q10365296,Ruy Mingas,,,ao,ao
Q10372258,Sita Valles,,,ao,ao
Q10373546,Sousa Jamba,,,ao,ao
Q10378759,Tchikakata Mbalundo,,,ao,ao
Q10380977,José Quitongo,,,ao,ao
Q5444871,Fernando Pereira,,,ao,ao
Q5464025,Fofana,,,ao,ao
Q5448540,Filipe Abraao,,,ao,ao
Q5448557,Filipe Nzanza,,,ao,ao
Q5472829,Fortunato Luis Pacavira,,,ao,ao
Q5483447,Francisco Lopes Higino Carneiro,,,ao,ao
Q5483896,Francisco Romão,,,ao,ao
Q2511025,Vasco Vieira da Costa,,,ao,ao
Q2514348,Titica,,,ao,ao
Q2541308,Waldemar Bastos,,,ao,ao
Q2561141,Henrique Abranches,,,ao,ao
Q2600598,Yola Semedo,,,ao,ao
Q2608980,Yamba Asha,,,ao,ao
Q181665,Agostinho Neto,,,ao,ao
Q184449,Zeferino Zeca Martins,,,ao,ao
Q204445,Eduardo André Muaca,,,ao,ao
Q9374756,Magda Cazanga,,,ao,ao
Q9709244,Catarina Sousa,,,ao,ao
Q9586975,Afonso Abel de Campos,,,ao,ao
Q9611595,Amélia da Lomba,,,ao,ao
Q4750315,Ana Barros,,,ao,ao
Q4689392,Afonso Van-Dunem,,,ao,ao
Q4694559,Aguinaldo Jaime,,,ao,ao
Q4712054,Alberto Graves Chakussanga,,,ao,ao
Q4712083,Alberto Joaquim Vinama,,,ao,ao
Q4726210,Aliceres Mango,,,ao,ao
Q4733786,Almerindo Jaka Jamba,,,ao,ao
Q4741928,Ambrósio Lukoki,,,ao,ao
Q6774171,Marta Santos,,,ao,ao
Q6765905,Marito,,,ao,ao
Q6762050,Mariana Henriques,,,ao,ao
Q6764779,Mario Manuel de Oliveira,,,ao,ao
Q6787541,Matilde André,,,ao,ao
Q6794396,Mawete João Baptista,,,ao,ao
Q6836892,Michelino Mavatiku Visi,,,ao,ao
Q2278782,Joaquim Gomes,,,ao,ao
Q2278685,Carlos Almeida,,,ao,ao
Q2271955,Serafim Shyngo-Ya-Hombo,,,ao,ao
Q2278706,Eduardo Mingas,,,ao,ao
Q2343836,Régio Francisco Congo Zalata,,,ao,ao
Q4382032,Óscar Bento Ribas,,,ao,ao
Q4668656,Nelson Henriques,,,ao,ao
Q4669149,Luís Sá Silva,,,ao,ao
Q4680926,Adawá Mokanga,,,ao,ao
Q4682839,Adilson da Cruz,,,ao,ao
Q4685588,Adriano Makevela Mackenzie,,,ao,ao
Q4689381,Afonso Pedro Canga,,,ao,ao
Q1624159,Welwitschia dos Santos,,,ao,ao
Q1709402,José Manuel Imbamba,,,ao,ao
Q1709494,José Mena Abrantes,,,ao,ao
Q1709527,José Nambi,,,ao,ao
Q1729014,Mário Lucunde,,,ao,ao
Q1748390,Mabi de Almeida,,,ao,ao
Q2857757,António Santos,,,ao,ao
Q2857939,Aníbal Moreira,,,ao,ao
Q2891838,José Sayovo,,,ao,ao
Q2894219,Mário Chipongue,,,ao,ao
Q2895973,Benjamim Avô,,,ao,ao
Q2927773,Buila Katiavala,,,ao,ao
Q2944008,Hermenegildo da Costa Paulo Bartolomeu,,,ao,ao
Q7487549,Fernando Gomes Manuel de Sousa,,,ao,ao
Q7487591,Hélder Vicente de Jesus Serafin,,,ao,ao
Q7487764,Helmer da Piedade Rosa,,,ao,ao
Q7555105,Soki N'Zinga,,,ao,ao
Q7617688,Stiviandra Oliveira,,,ao,ao
Q7619846,Stopirra,,,ao,ao
Q7705984,Teta Lando,,,ao,ao
Q6083115,Manuel Rui,,,ao,ao
Q6085106,Isménia Júnior,,,ao,ao
Q6140236,Nito Alves,,,ao,ao
Q6146335,Tiago Emanuel da Costa Sousa,,,ao,ao
Q6169090,Jean-Claude Bastos de Morais,,,ao,ao
Q6185640,Jerónimo Elavoko Wanga,,,ao,ao
Q13428976,Alexander Christovao,,,ao,ao
Q13563286,Anica Neto,,,ao,ao
Q13563290,Elisa Webba,,,ao,ao
Q13563289,Filomena Trindade,,,ao,ao
Q13563288,Palmira Barbosa,,,ao,ao
Q4750340,Ana Crysna da Silva Romero,,,ao,ao
Q4750344,Ana Dias Lourenço,,,ao,ao
Q4750416,Ana Maria Teles Carreira,,,ao,ao
Q4776966,Antonio Sapalo Lohoca Justo,,,ao,ao
Q4777046,Antonio Fwaminy da Costa Fernandes,,,ao,ao
Q603173,António Mendonça,,,ao,ao
Q603442,Luís Maimona João,,,ao,ao
Q611393,António Setas,,,ao,ao
Q614876,Miloy,,,ao,ao
Q2757411,Felizarda Jorge,,,ao,ao
Q2812145,Dias Caires,,,ao,ao
Q2812285,Enoque Paulo Guilherme,,,ao,ao
