# source_url: https://query.wikidata.org/sparql
# license: CC0
# country_qid: Q155
# note: WDQS label corpus; given/family fields blank when property joins time out
qid,label,given_name,family_name,country,country_class
Q156822,Lúcio,,,br,br
Q145514,Wanessa Camargo,,,br,br
Q145710,Quincas Laranjeiras,,,br,br
Q146932,Matheus Coradini Vivian,,,br,br
Q146996,Zanoni Demettino Castro,,,br,br
Q240460,Jennifer O'Neill,,,br,br
Q239784,Ana Beatriz Barros,,,br,br
Q239905,Jaqueline Carvalho,,,br,br
Q80761,Dante,,,br,br
Q78122,Marcelo Pletsch,,,br,br
Q78312,Henrique Johannpötter,,,br,br
Q78973,Erwin Kräutler,,,br,br
Q80532,Jerzy Milewski,,,br,br
Q190723,Gustavo Kuerten,,,br,br
Q83019,Carmen Lúcia,,,br,br
Q83329,Nílton Santos,,,br,br
Q83676,Aleida Schweitzer,,,br,br
Q235980,Maria Bethânia,,,br,br
Q235978,Sarah Menezes,,,br,br
Q82820,Edson Taschetto Damian,,,br,br
Q82864,Bruno Senna,,,br,br
Q187427,Željko Loparić,,,br,br
Q187825,Márcio May,,,br,br
Q236361,Gal Costa,,,br,br
Q236503,Fernando Collor de Mello,,,br,br
Q12897,Pelé,,,br,br
Q17493,Thiago Alcântara,,,br,br
Q16783,Fernando César de Souza,,,br,br
Q164797,Paulo Freire,,,br,br
Q164207,Eurico dos Santos Veloso,,,br,br
Q164575,Paulo Assunção,,,br,br
Q156844,Getúlio Vargas,,,br,br
Q159059,Grafite,,,br,br
Q23945,Ana Cristina Cesar,,,br,br
Q167752,Zequinha de Abreu,,,br,br
Q167698,Éder,,,br,br
Q87493,Hans Stern,,,br,br
Q87310,Conrado Walter,,,br,br
Q87506,Carlos Kloppenburg,,,br,br
Q87899,Silva Reinaldo Ribeiro,,,br,br
Q89077,Johann Baptist Reus,,,br,br
Q250283,Paula Morelenbaum,,,br,br
Q250335,Cristian Machado,,,br,br
Q250842,Álvaro Castro,,,br,br
Q250962,Geovanni Deiberson Maurício,,,br,br
Q250793,Doda Miranda,,,br,br
Q27852,Ilan,,,br,br
Q27795,Magno Novaes,,,br,br
Q29097,Renato Dirnei Florêncio,,,br,br
Q238888,Nina Miranda,,,br,br
Q238993,Sônia Braga,,,br,br
Q93583,Gustav Wagner,,,br,br
Q92655,Marcelo Tosatti,,,br,br
Q31986,Cléo,,,br,br
Q31988,Carlos Henrique dos Santos Souza,,,br,br
Q165576,Bruno Mendes,,,br,br
Q166022,Luiz Demétrio Valentini,,,br,br
Q166506,Sammir,,,br,br
Q171431,Ricardo Rosset,,,br,br
Q171443,Carlos Pace,,,br,br
Q171439,Tarso Marques,,,br,br
Q31760,Jussiê Ferreira Vieira,,,br,br
Q31766,Mariano Ferreira Filho,,,br,br
Q238688,Floriano Peixoto,,,br,br
Q238788,Patápio Silva,,,br,br
Q84902,Clemens Holzmeister,,,br,br
Q248457,Bruno Mineiro,,,br,br
Q248358,Alex Correia Diniz,,,br,br
Q250250,Alfred Enoch,,,br,br
Q82275,Bruno Barreto,,,br,br
Q81759,André Diamant,,,br,br
Q161039,Josué Anunciado de Oliveira,,,br,br
Q160363,Aílton Gonçalves da Silva,,,br,br
Q32014,Éverton Lopes,,,br,br
Q34076,Nathalia Dill,,,br,br
Q37181,Luiz Inácio Lula da Silva,,,br,br
Q29649,Cicinho,,,br,br
Q30865,Eike Batista,,,br,br
Q31242,Bruno Lechowski,,,br,br
Q245852,Rodrigo Tabata,,,br,br
Q246861,Cândido Lorenzo González,,,br,br
Q246903,Enéas Carneiro,,,br,br
Q171471,Maurício Gugelmin,,,br,br
Q171507,Chico Serra,,,br,br
Q171727,Raul Boesel,,,br,br
Q188544,Dida,,,br,br
Q187948,Josué de Castro,,,br,br
Q188916,Alexandre Rodrigues Ferreira,,,br,br
Q189042,Rubem Alves,,,br,br
Q189184,Rafael Pereira da Silva,,,br,br
Q43971,Edno,,,br,br
Q44407,Ronald Golias,,,br,br
Q248016,Eduardo Costa,,,br,br
Q247502,Zé do Rock,,,br,br
Q247510,Zélia Fonseca,,,br,br
Q247526,Zélia Gattai,,,br,br
Q247211,João Batista da Silva,,,br,br
Q247467,Zé Marco de Melo,,,br,br
Q247497,Zé Sérgio,,,br,br
Q39444,Ronaldinho,,,br,br
Q190142,Gilberto Silva,,,br,br
Q189556,Zeni Pereira,,,br,br
Q189677,Zeno Hastenteufel,,,br,br
Q192359,João Gilberto,,,br,br
Q192361,Pascoal Ranieri Mazzilli,,,br,br
Q241801,Paulinho da Viola,,,br,br
Q242010,Cristiane Rozeira,,,br,br
Q86636,Julius Frank,,,br,br
Q85606,Achim Steiner,,,br,br
Q86126,Ricardo José Weberberger,,,br,br
Q251270,Álvaro Santos,,,br,br
Q251040,Álvaro Luiz Maior de Aquino,,,br,br
Q251398,Álvaro Zamith,,,br,br
Q192963,Luís Fabiano,,,br,br
Q193504,Vincent Cassel,,,br,br
Q171346,Nelson Piquet,,,br,br
Q90284,Paul Singer,,,br,br
Q90298,Hans Donner,,,br,br
Q90581,Anatol Rosenfeld,,,br,br
Q39230,Marquinhos,,,br,br
Q38363,Frejat,,,br,br
Q38794,Rildo da Costa Menezes,,,br,br
Q38136,Marcelo Vieira,,,br,br
Q40652,Tite,,,br,br
Q34982,João Goulart,,,br,br
Q34410,Teliana Pereira,,,br,br
Q190917,Carlos Alberto Parreira,,,br,br
Q191634,Luiz Felipe Scolari,,,br,br
Q172734,Antônio Pizzonia,,,br,br
Q172783,Lucas Di Grassi,,,br,br
Q40722,Dilma Rousseff,,,br,br
Q169565,Zeca Pagodinho,,,br,br
Q168447,Osvaldo Trigueiro de Albuquerque Melo,,,br,br
Q169295,Zé Soares,,,br,br
Q37206,Sérgio da Rocha,,,br,br
Q192377,João Figueiredo,,,br,br
Q170452,Adriano,,,br,br
Q169846,Rubens Barrichello,,,br,br
Q174926,Rafinha,,,br,br
Q173296,Wilson Fittipaldi Júnior,,,br,br
Q100683,Fritz Plaumann,,,br,br
Q102331,Sócrates,,,br,br
Q96674,Reinaldo Pünder,,,br,br
Q257606,Gilmar,,,br,br
Q257770,Sheilla Castro,,,br,br
Q257896,Jade Barbosa,,,br,br
Q172078,Chico Landi,,,br,br
Q172053,Luiz Bueno,,,br,br
Q172335,Fritz d'Orey,,,br,br
Q24705,Rafael Albuquerque,,,br,br
Q27768,Felipe Saad,,,br,br
Q27772,Eduardo Ribeiro dos Santos,,,br,br
Q171754,Ingo Hoffmann,,,br,br
Q171770,Hermano da Silva Ramos,,,br,br
Q172004,Ricardo Zonta,,,br,br
Q47526,Arthur Antunes Coimbra,,,br,br
Q191885,Thiago Motta,,,br,br
Q93834,José Maria Marin,,,br,br
Q94850,Adriano Correia Claro,,,br,br
Q95711,Herbert Heinicke,,,br,br
Q119015,Jorge Ben,,,br,br
Q121015,Tatunca Nara,,,br,br
Q121112,Wilfried Berk,,,br,br
Q44742,Breno Borges,,,br,br
Q44815,Giovane Élber,,,br,br
Q45010,Ricardo Mello,,,br,br
Q254747,José Lázaro Robles,,,br,br
Q255024,Gilberto Galdino dos Santos,,,br,br
Q255380,Renan Marques,,,br,br
