# source_url: https://query.wikidata.org/sparql
# license: CC0
# country_qid: Q1029
# note: WDQS label corpus; given/family fields blank when property joins time out
qid,label,given_name,family_name,country,country_class
Q617503,Eugénio Fernando Bila,,,mz,mz
Q703613,Simão Mate Junior,,,mz,mz
Q770510,Delmar Maia Gonçalves,,,mz,mz
Q1656026,Ibraimo Mussagy,,,mz,mz
Q1339120,Aldino Muianga,,,mz,mz
Q1343369,Paíto,,,mz,mz
Q1356776,Ernesto Maguengue,,,mz,mz
Q1383773,Pascoal Mocumbi,,,mz,mz
Q6482769,Lamá,,,mz,mz
Q6291941,José Condungua Pacheco,,,mz,mz
Q6292303,José Gabriel Manteigas,,,mz,mz
Q6292485,José Ibraimo Abudo,,,mz,mz
Q6321710,Júlio Eduardo Zamith Carrilho,,,mz,mz
Q6369528,Karen Boswall,,,mz,mz
Q6526096,Leonardo Simão,,,mz,mz
Q9287803,Henrique Ferreira,,,mz,mz
Q9253354,Emanuel Matola,,,mz,mz
Q9323931,Rui Evora Alves,,,mz,mz
Q9352822,Sérgio Faife Matsolo,,,mz,mz
Q9368583,Vicente Daniel,,,mz,mz
Q9594344,Alberto Magassela,,,mz,mz
Q56355587,Morgado Mbalate,,,mz,mz
Q56825104,Columbus Kamba Simango,,,mz,mz
Q56825097,Muti Munene Sikobele,,,mz,mz
Q59148333,Cecilia Henriques,,,mz,mz
Q59296552,Uneiza Ali Issufo,,,mz,mz
Q59519622,António Juliasse Ferreira Sandramo,,,mz,mz
Q60194369,Lourenço do Rosário,,,mz,mz
Q60676098,Lucas Sinoia,,,mz,mz
Q60676557,Alberto Machaze,,,mz,mz
Q47492973,Nelson Nhamussua,,,mz,mz
Q47492987,Neidy Ocuane,,,mz,mz
Q47539989,Mr. Bow,,,mz,mz
Q48791311,Kelvin Viriato,,,mz,mz
Q50378107,Ruth Garcês,,,mz,mz
Q51883265,Ana Flávia Azinheira,,,mz,mz
Q51883266,Marina Pachinuapa,,,mz,mz
Q51883262,Rosália Mboa,,,mz,mz
Q1278158,Ungulani Ba Ka Khosa,,,mz,mz
Q1279833,Germano Grachane,,,mz,mz
Q1315233,Sérgio Vieira,,,mz,mz
Q1337958,Mário Wilson,,,mz,mz
Q822987,Bernardo Filipe Governo,,,mz,mz
Q923175,Nelson Saúte,,,mz,mz
Q937371,Orlando Mendes,,,mz,mz
Q948295,Daviz Simango,,,mz,mz
Q952238,Eduardo White,,,mz,mz
Q16164753,Pinto Barros,,,mz,mz
Q16194995,Vince Cate,,,mz,mz
Q16204685,Miriam Corsini,,,mz,mz
Q16207240,Diogo António Alberto,,,mz,mz
Q16215417,Ilidio Matusse,,,mz,mz
Q16221700,Ermelinda Zamba,,,mz,mz
Q16223775,Apson Manjate,,,mz,mz
Q13481934,Zulficar Mussagy,,,mz,mz
