# source_url: https://query.wikidata.org/sparql
# license: CC0
# country_qid: Q45
# note: WDQS label corpus; given/family fields blank when property joins time out
qid,label,given_name,family_name,country,country_class
Q293228,Maria Keil,,,pt,pt
Q345538,Calouste Gulbenkian,,,pt,pt
Q345926,Teófilo Braga,,,pt,pt
Q346739,Paulo Jorge Vieira Alves,,,pt,pt
Q452188,Rui Silva,,,pt,pt
Q450731,Conchita Cintrón,,,pt,pt
Q450913,Lídia Jorge,,,pt,pt
Q451771,Amadeo de Souza Cardoso,,,pt,pt
Q193568,Nuno Gomes,,,pt,pt
Q349505,Belmiro de Azevedo,,,pt,pt
Q349486,Manuel Carmo,,,pt,pt
Q351972,João Vieira Pinto,,,pt,pt
Q356691,Sidónio Pais,,,pt,pt
Q356907,Frederico Gil,,,pt,pt
Q357343,Alfredo Rodrigues Gaspar,,,pt,pt
Q360687,Fernando Santos,,,pt,pt
Q360213,Carlos Jorge Neto Martins,,,pt,pt
Q360221,Hélder Ornelas,,,pt,pt
Q360241,José Travassos,,,pt,pt
Q460761,Patricia Kraus,,,pt,pt
Q460825,Solveig Nordlund,,,pt,pt
Q461148,António Sardinha,,,pt,pt
Q461468,Frederica Piedade,,,pt,pt
Q444080,Amélia Muge,,,pt,pt
Q444074,Inês Thomas Almeida,,,pt,pt
Q444073,Jesualdo Ferreira,,,pt,pt
Q444119,Maria Teresa de Noronha,,,pt,pt
Q271034,Telma Monteiro,,,pt,pt
Q271036,Lura,,,pt,pt
Q270229,Jéssica Augusto,,,pt,pt
Q270268,Natália Correia,,,pt,pt
Q203665,Simão Sabrosa,,,pt,pt
Q205026,Jorge Cramez,,,pt,pt
Q205246,Filipe Morais,,,pt,pt
Q277180,Carlos Mendes,,,pt,pt
Q276402,Silvestre Varela,,,pt,pt
Q277190,Ana Padrão,,,pt,pt
Q16118,Manuela M. Veloso,,,pt,pt
Q16371,Constança Capdeville,,,pt,pt
Q24881,Laura Soveral,,,pt,pt
Q454958,Carlos Lopes,,,pt,pt
Q453717,Francisco d’Andrade,,,pt,pt
Q455154,Vera Santos,,,pt,pt
Q443434,Eduardo Chivambo Mondlane,,,pt,pt
Q443726,Maria Isabel Barreno,,,pt,pt
Q444059,Manuela Ferreira Leite,,,pt,pt
Q455172,Amaro Antunes,,,pt,pt
Q455317,Bernardino Machado,,,pt,pt
Q206232,Jorge de Sena,,,pt,pt
Q206247,Quim,,,pt,pt
Q206147,Zita Seabra,,,pt,pt
Q206278,Jacinta Marto,,,pt,pt
Q460483,Patrícia Mamona,,,pt,pt
Q459131,Joana Ramos,,,pt,pt
Q460370,Ticha Penicheiro,,,pt,pt
Q363962,Rui Costa,,,pt,pt
Q198064,Bruno Martins Indi,,,pt,pt
Q198524,Ana Dulce Félix,,,pt,pt
Q44851,Miguel Torga,,,pt,pt
Q43264,Manoel de Oliveira,,,pt,pt
Q448851,Alves Redol,,,pt,pt
Q448858,Alves dos Reis,,,pt,pt
Q448884,Aurora Cunha,,,pt,pt
Q465049,Jorge Costa,,,pt,pt
Q464293,Filipa Sousa,,,pt,pt
Q464465,Vânia Fernandes,,,pt,pt
Q464593,Bruno Patacas,,,pt,pt
Q463930,Ana Moura,,,pt,pt
Q463925,Cristina Branco,,,pt,pt
Q464005,Tonicha,,,pt,pt
Q211996,José Bosingwa,,,pt,pt
Q213416,Amílcar Cabral,,,pt,pt
Q212914,André Villas-Boas,,,pt,pt
Q466945,Mário de Sá-Carneiro,,,pt,pt
Q467179,Florbela Espanca,,,pt,pt
Q45809,Acúrsio Carrelo,,,pt,pt
Q46068,Agostinho Cá,,,pt,pt
Q311095,Jorge Andrade,,,pt,pt
Q311440,António Guterres,,,pt,pt
Q461617,Sara Martins,,,pt,pt
Q462403,Lio,,,pt,pt
Q461865,Rosa Lobato de Faria,,,pt,pt
Q457628,Marisa Barros,,,pt,pt
Q457617,Pedrinha,,,pt,pt
Q295315,Miguel Monteiro,,,pt,pt
Q295887,Vítor Baía,,,pt,pt
Q294980,Rui Patrício,,,pt,pt
Q294963,Hugo Viana,,,pt,pt
Q38802,Adelaide Ferreira,,,pt,pt
Q310817,Danny,,,pt,pt
Q310206,Fernando Meira,,,pt,pt
Q11571,Cristiano Ronaldo,,,pt,pt
Q57398,Aníbal Cavaco Silva,,,pt,pt
Q57615,Pedro Passos Coelho,,,pt,pt
Q58161,Paulo Portas,,,pt,pt
Q59255,Sandro Raniere,,,pt,pt
Q303241,Nelson Évora,,,pt,pt
Q302565,Vítor Melo Pereira,,,pt,pt
Q303655,Milú,,,pt,pt
Q45193,António Ribeiro,,,pt,pt
Q45043,José Policarpo,,,pt,pt
Q45198,José Saraiva Martins,,,pt,pt
Q39230,Marquinhos,,,pt,pt
Q39415,Pedro Cary,,,pt,pt
Q367910,Mariano Gago,,,pt,pt
Q367010,Francisco de Sá Carneiro,,,pt,pt
Q368095,Samuel Nunez,,,pt,pt
Q368644,Gonçalo Ribeiro Telles,,,pt,pt
Q213676,Liédson,,,pt,pt
Q214117,Hélder Postiga,,,pt,pt
Q465927,Daniela Mercury,,,pt,pt
Q465817,Manuel Bento,,,pt,pt
Q24995,Luísa Sobral,,,pt,pt
Q25883,Célia Lawson,,,pt,pt
Q27078,Arnaldo Pereira,,,pt,pt
Q219918,Samora Moisés Machel,,,pt,pt
Q200941,António Vitorino,,,pt,pt
Q201414,Nélson Pereira,,,pt,pt
Q201981,Manuel Antonio Cardoso,,,pt,pt
Q202794,Luís Campos e Cunha,,,pt,pt
Q469208,Soraia Chaves,,,pt,pt
Q470926,José Mendes Cabeçadas,,,pt,pt
Q470961,Manuel Gomes da Costa,,,pt,pt
Q456593,Pedro Chaves,,,pt,pt
Q455870,Amaury Bischoff,,,pt,pt
Q457365,Anabela,,,pt,pt
Q311087,Costinha,,,pt,pt
Q310870,Marcelo Caetano,,,pt,pt
Q299727,Rolando,,,pt,pt
Q299450,Bebé,,,pt,pt
Q468613,Ana Moura,,,pt,pt
Q464259,Simone de Oliveira,,,pt,pt
Q464279,Rita Guerra,,,pt,pt
Q464284,Sofia Vitória,,,pt,pt
Q214813,Amália Rodrigues,,,pt,pt
Q214751,Henrique Hilário,,,pt,pt
Q466394,André Monteiro,,,pt,pt
Q466548,Américo Amorim,,,pt,pt
Q463908,Joana Vasconcelos,,,pt,pt
Q463921,Fátima Lopes,,,pt,pt
Q463918,Mariza,,,pt,pt
Q457798,Matilde Rosa Lopes de Araújo,,,pt,pt
Q458510,Tony Carreira,,,pt,pt
Q459037,Gonçalo Sampaio,,,pt,pt
Q459068,Hanna Damasio,,,pt,pt
Q299768,Eduardo Carvalho,,,pt,pt
Q302250,José dos Santos Ferreira,,,pt,pt
Q311793,Aga Khan IV,,,pt,pt
Q468766,Carminho,,,pt,pt
Q468826,Rita Redshoes,,,pt,pt
Q372755,Leandro Romagnoli,,,pt,pt
Q374154,Ruben Lima,,,pt,pt
Q374961,Manuel José Vieira,,,pt,pt
Q311872,Philippe Coutinho,,,pt,pt
Q375386,Pedro Cabrita Reis,,,pt,pt
Q375610,Adriano Correia de Oliveira,,,pt,pt
Q375947,Sérgio Paulinho,,,pt,pt
Q72802,Eliseu,,,pt,pt
Q66294,Sérgio Pinto,,,pt,pt
Q71943,Rui Pedro Couto Ramalho,,,pt,pt
Q29339,Maniche,,,pt,pt
Q37060,José Saramago,,,pt,pt
Q311564,Olegário Benquerença,,,pt,pt
Q313955,Beto,,,pt,pt
Q314022,Óscar Carmona,,,pt,pt
Q59568,Fernando Cardinal,,,pt,pt
Q64685,João Cravinho,,,pt,pt
Q60114,António Ramalho Eanes,,,pt,pt
Q64688,José Lello,,,pt,pt
Q383405,Afonso Talaia da Lapa de Sousa Botelho,,,pt,pt
Q383408,Afonso Cruz,,,pt,pt
Q383422,Afonso Duarte,,,pt,pt
Q383450,Afonso Lopes Vieira,,,pt,pt
Q499712,César Fonte,,,pt,pt
Q79983,José Mourinho,,,pt,pt
Q231084,Rosa Mota,,,pt,pt
Q231103,Sister Lúcia,,,pt,pt
Q370453,José dos Santos Garcia,,,pt,pt
Q371484,Jacinto Lucas Pires,,,pt,pt
Q371701,Joshua Benoliel,,,pt,pt
Q371840,Américo Tomás,,,pt,pt
Q74761,Vitinha,,,pt,pt
Q74138,Soi Cheang,,,pt,pt
Q74501,Maria Cavaco Silva,,,pt,pt
Q74906,José Belard da Fonseca,,,pt,pt
Q303936,João Marques de Oliveira,,,pt,pt
Q304416,William Carvalho,,,pt,pt
Q305493,Joaquim Pimenta de Castro,,,pt,pt
Q75326,Ernst Schmitz,,,pt,pt
Q75062,Maria Barroso,,,pt,pt
Q76158,Carolina Michaëlis de Vasconcelos,,,pt,pt
Q237037,Mísia,,,pt,pt
Q237321,Infanta Maria Antonia of Portugal,,,pt,pt
Q237358,Infanta Maria Theresa of Portugal,,,pt,pt
Q481124,Ernâni Lopes,,,pt,pt
Q481112,Júlio Botelho Moniz,,,pt,pt
Q481330,Cédric Soares,,,pt,pt
Q237677,Mia Rose,,,pt,pt
Q237393,Filipa Azevedo,,,pt,pt
Q472244,António Feio,,,pt,pt
Q472410,Luís Novo,,,pt,pt
Q472589,Jaime Gama,,,pt,pt
Q370179,Benedita Pereira,,,pt,pt
Q368682,Ruben Amorim,,,pt,pt
Q369984,Jorge Ribeiro,,,pt,pt
Q232351,Fernanda Ribeiro,,,pt,pt
Q231781,Antonio Tabucchi,,,pt,pt
Q311968,Nuno Valente,,,pt,pt
Q312507,Nélson Oliveira,,,pt,pt
Q80424,Nelly Furtado,,,pt,pt
Q82313,Manuel Pio Corrêa,,,pt,pt
Q82322,Maria José Ritta,,,pt,pt
Q383456,Afonso Pegado,,,pt,pt
Q384161,Carlos Quintas,,,pt,pt
Q385138,Jaime de Magalhães Lima,,,pt,pt
Q385742,Sergei Yuran,,,pt,pt
Q218165,Pauleta,,,pt,pt
Q483145,Luís Figo,,,pt,pt
Q483077,Ana Salaza,,,pt,pt
Q229682,Zumbi,,,pt,pt
Q226023,João Tamagnini Barbosa,,,pt,pt
Q222151,João Moutinh0,,,pt,pt
Q472852,Luís Paulo Alves,,,pt,pt
Q473073,Pedro Taborda,,,pt,pt
Q47526,Arthur Antunes Coimbra,,,pt,pt
Q55302,Bento da Cruz,,,pt,pt
Q482987,Ana Moreira,,,pt,pt
Q483262,Anabela Cardoso,,,pt,pt
Q483470,Anacleto Cordeiro Gonçalves de Oliveira,,,pt,pt
Q483640,Nelo Vingada,,,pt,pt
Q484384,Fábio Coentrão,,,pt,pt
Q250919,Álvaro Cunhal,,,pt,pt
Q250934,Álvaro Eugénio Neves de Fontoura,,,pt,pt
