# source_url: https://query.wikidata.org/sparql
# license: CC0
# country_qid: Q1011
# note: WDQS label corpus; given/family fields blank when property joins time out
qid,label,given_name,family_name,country,country_class
Q135369114,Admir Jorge Ferreira Mendes,,,cv,cv
Q135369112,Edvaldo do Rosario Lopes Ferreira,,,cv,cv
Q135369115,Evandro Alves Delgado,,,cv,cv
Q135369113,Paulo Sandir Palavra Dias,,,cv,cv
Q135371293,Aurea Cardoso,,,cv,cv
Q135371292,Juvelina Bento,,,cv,cv
Q135371291,Mireille Rocha Coronel Lima,,,cv,cv
Q16234775,Mailó,,,cv,cv
Q16234962,Nuno Rocha,,,cv,cv
Q16235304,Erson Stiven Dias Costa,,,cv,cv
Q16266834,Dona Tututa,,,cv,cv
Q16269557,Cristina Fontes Lima,,,cv,cv
Q16512326,Belinda Lima,,,cv,cv
Q580332,Germano Almeida,,,cv,cv
Q581248,Nely Carla Alberto,,,cv,cv
Q610645,António Aurélio Gonçalves,,,cv,cv
Q706594,Luís Romano de Madeira Melo,,,cv,cv
Q707926,Fernando Quejas,,,cv,cv
Q139594211,Francisco Carvalho,,,cv,cv
Q138657155,Olavo Correia,,,cv,cv
Q137395729,Adryella Fortes,,,cv,cv
Q138034697,João António Pinto Serra,,,cv,cv
Q138034705,Carlos Augusto Duarte de Burgo,,,cv,cv
Q138034954,Úlpio Napoleão Fernandes,,,cv,cv
Q138034961,José Tomas Whanon de Carvalho Veiga,,,cv,cv
Q138034968,Arnaldo Carlos de Vasconcelos França,,,cv,cv
Q138506628,Queila Fernandes,,,cv,cv
Q138971271,Líver Gomes,,,cv,cv
Q139358573,Joaquina Almeida,,,cv,cv
Q139377312,Pamela Borges,,,cv,cv
Q139592951,Pedro Alexandre Rocha,,,cv,cv
Q139795138,Danilson Silva Pereira,,,cv,cv
Q139931785,João Carlos Tavares Fidalgo,,,cv,cv
Q140387294,Aires Melo,,,cv,cv
Q136211119,David Costa,,,cv,cv
Q135374245,Carlos Cabral,,,cv,cv
Q135371294,Djenifer Da Veiga,,,cv,cv
Q135371334,Vandell Lushea Andrade,,,cv,cv
Q135375087,Flavio Aguinaldo Marcos Gomes,,,cv,cv
Q135375092,Paulo Eduardo Silva da Cruz,,,cv,cv
Q135375947,Patrick Abreu,,,cv,cv
Q135376389,Braima Queta Freire,,,cv,cv
Q135376436,Edson Patrick De Andrade,,,cv,cv
Q135376437,John Patrick Hegharty,,,cv,cv
Q135378483,Avery James Oliver,,,cv,cv
Q135379040,Anisa Serruto Costa e Silva,,,cv,cv
Q135379041,Aylin Pires,,,cv,cv
Q135379039,Carla Alexandra Pina Aires,,,cv,cv
Q135379098,Antonio Moreira,,,cv,cv
Q135379038,Kira Helena Monteiro Lopes,,,cv,cv
Q135379472,Agildo Alexandre De Diniz Cabral,,,cv,cv
Q135379042,Yamili Hernandez da Vera Cruz,,,cv,cv
Q135379471,Waldir Fernandes Lima Santos Soares,,,cv,cv
Q135381444,Michael Bluesky Gomes,,,cv,cv
Q135382150,Abdlai Andrade Faty,,,cv,cv
Q135382149,Aquiles Evora Tavares Semedo,,,cv,cv
Q135382121,Dénis Odair De Pina,,,cv,cv
Q135382151,Eric Gabriel Silva,,,cv,cv
Q135382152,Felix A. Monteiro,,,cv,cv
Q135382373,Denise Lisete Cardoso da Fonseca,,,cv,cv
Q135382372,Natàlia dos Santos André,,,cv,cv
Q135382370,Sofia Isabel Silva,,,cv,cv
Q135385863,Mario Jorge Neves,,,cv,cv
Q135388643,João Paulo Mendes Monteiro,,,cv,cv
Q135388644,Vitor Hugo Vera Cruz Fortes,,,cv,cv
Q135391881,Sekou Condé,,,cv,cv
Q135714241,Eurídice Monteiro,,,cv,cv
Q135967082,Edmilson Rocha,,,cv,cv
Q135976305,Rúben Pina,,,cv,cv
Q135976570,Elson Mendes,,,cv,cv
Q136156471,Joël Domingos,,,cv,cv
Q136381589,Kevin Fernandes Vaz,,,cv,cv
Q136622644,Nilton Jorge Rodrigues Gomes,,,cv,cv
Q136623144,Isaias De Jesus Freire Galvao,,,cv,cv
Q136623960,Erikson Jorge Mendes Duarte,,,cv,cv
Q1984801,Aguinaldo Fonseca,,,cv,cv
Q2006892,Fábio Emanuel Moreira Silva,,,cv,cv
Q2060958,John DeBrito,,,cv,cv
Q2067333,Héldon Ramos,,,cv,cv
Q2068357,Babanco,,,cv,cv
Q110409384,Ronisia,,,cv,cv
Q19365008,Ailton César Duarte Silva,,,cv,cv
Q19703594,Ivan Cruz,,,cv,cv
Q19903435,Eileen Barbosa,,,cv,cv
Q20065314,Patrick Andrade,,,cv,cv
Q20676495,Laros Duarte,,,cv,cv
Q26704562,Jovane Cabral,,,cv,cv
Q26964640,Georgina Mello,,,cv,cv
Q27061801,Tuna Mascarenhas,,,cv,cv
Q27063024,Élida Almeida,,,cv,cv
Q27077739,Dulce Almada Duarte,,,cv,cv
Q1891504,Manuel Figueira,,,cv,cv
Q1763902,Jeff Xavier,,,cv,cv
Q1858323,Odaïr Fortes,,,cv,cv
Q1957070,Mário Lúcio Sousa,,,cv,cv
Q1963953,Adysângela Moniz,,,cv,cv
Q11957344,Nelson Cruz,,,cv,cv
Q11691650,Crispina Correia,,,cv,cv
Q11715832,Jade Leitão,,,cv,cv
Q11755234,Letícia Oliveira,,,cv,cv
Q11762848,Louisa da Conceição,,,cv,cv
Q11789239,Nair Varela,,,cv,cv
Q11865163,Isménia do Frederico,,,cv,cv
Q11958438,António Delgado,,,cv,cv
Q2466155,Vasco Martins,,,cv,cv
Q2391518,Silvino Manuel da Luz,,,cv,cv
Q2398085,Carlos Figueira,,,cv,cv
Q2404000,Teodoro Mendes Tavares,,,cv,cv
Q2481755,Maria de Barros,,,cv,cv
Q2482176,Rui da Gracia Gomes,,,cv,cv
Q23771913,Vagner Gonçalves,,,cv,cv
Q23771910,Platiny Alves,,,cv,cv
Q23771915,Ronivaldo Cruz,,,cv,cv
Q23799874,Ludovic Soares,,,cv,cv
Q23899522,Ulisses Correia e Silva,,,cv,cv
Q18276701,Leão Lopes,,,cv,cv
Q18637916,Carlos Ponck,,,cv,cv
Q18713196,Kevin Sousa,,,cv,cv
Q18814713,Carlos Lima,,,cv,cv
Q18857087,Rosângela Lagos,,,cv,cv
Q768531,João Gomes,,,cv,cv
Q726765,Nando Maria Neves,,,cv,cv
Q740548,José Luís Jesus,,,cv,cv
Q772779,Boy Gé Mendes,,,cv,cv
Q918049,Stopira,,,cv,cv
Q3015796,Dany,,,cv,cv
Q2908904,Fredson Tavares,,,cv,cv
Q2908923,Luís Carlos Almada Soares,,,cv,cv
Q2939374,Piguita,,,cv,cv
Q2998046,Corsino Fortes,,,cv,cv
Q3018091,Vozinha,,,cv,cv
Q107642670,Jayla Pina,,,cv,cv
Q107806484,Kelvin Pires,,,cv,cv
Q107948136,Kelvin Patrick,,,cv,cv
Q108066840,Prissy Gomes,,,cv,cv
Q108172326,Tchiss Lopes,,,cv,cv
Q108395046,Kevin Pina,,,cv,cv
Q2071467,Helton dos Reis,,,cv,cv
Q2180988,David Nascimento,,,cv,cv
Q2347323,Silvino Gomes Soares,,,cv,cv
Q2362902,Jeffrey Fortes,,,cv,cv
Q43023451,Carlina Pereira,,,cv,cv
Q43354820,Lígia Fonseca,,,cv,cv
Q43389063,Nilda Maria,,,cv,cv
Q44821118,Willy Semedo,,,cv,cv
Q45965970,Eunice Silva,,,cv,cv
Q47035442,Maria de Fátima Coronel,,,cv,cv
Q88247927,Olavo Correia,,,cv,cv
Q85686371,Jorge Neto,,,cv,cv
Q85797565,Roberto Lopes,,,cv,cv
Q87059454,Dynamo,,,cv,cv
Q80632180,Bryan Teixeira,,,cv,cv
Q78505792,Sara Baptista,,,cv,cv
Q81878954,Edi Semedo,,,cv,cv
Q12857170,Carlos Moreira,,,cv,cv
Q12155704,Alison Brito,,,cv,cv
